t,ωfl,ωfr,ωrl,ωrr
43.0,2.7167102831276013,4.0000000360424455,4.0000000360424455,2.716710283127596
43.1,2.8189362401238096,3.966236996367066,3.966236996367072,2.8189362401238003
43.2,2.91874599374105,3.8861893550337028,3.886189355033712,2.9187459937410587
43.3,3.0143137506293733,3.811683833662928,3.811683833662935,3.0143137506293884
43.4,3.104858757424005,3.743944287315572,3.7439442873155833,3.1048587574240187
43.5,3.1899090922783664,3.6838071674135895,3.6838071674135735,3.1899090922783837
43.6,3.2692169413874326,3.6317772977533593,3.6317772977533664,3.269216941387421
43.7,3.3426957345198374,3.5880726887367467,3.5880726887367316,3.342695734519854
43.8,3.4103740956376307,3.5526662381887064,3.552666238188733,3.4103740956376263
43.9,3.4723627110681017,3.5253267925546035,3.525326792554627,3.4723627110680955
44.0,3.528831021987626,3.5056592956708617,3.505659295670841,3.5288310219876253
44.1,3.5799911310386254,3.493143053202459,3.493143053202483,3.5799911310386303
44.2,3.626086723655127,3.4871671585515385,3.4871671585515758,3.6260867236551064
44.3,3.667385255378055,3.487062340011723,3.4870623400117213,3.667385255378057
44.4,3.704172183308854,3.4921287406740764,3.492128740674067,3.704172183308929
44.5,3.736746551819157,3.5016593896702752,3.501659389670272,3.736746551819185
44.6,3.765417489370331,3.5149593667355963,3.5149593667355985,3.7654174893703263
44.7,3.790500847796529,3.5313608972133634,3.5313608972135224,3.7905008477965203
44.8,3.812314953131199,3.550234770573473,3.550234770573446,3.812314953131233
44.9,3.8311754150899087,3.5709984726286774,3.57099847262869,3.8311754150899135
45.0,3.8473901699128557,3.593121354625933,3.59312135462593,3.84739016991286
45.1,3.8612555461352613,3.6161272016458956,3.616127201645892,3.861255546135286
45.2,3.873053122691366,3.6395946709327376,3.639594670932759,3.8730531226913656
45.3,3.8830469577656803,3.6631561073688754,3.6631561073688386,3.883046957765679
45.4,3.891481093479207,3.6864951875451504,3.686495187545155,3.8914810934791384
45.5,3.898577471390998,3.7093437557213234,3.7093437557213025,3.898577471391015
45.6,3.9045344225038514,3.7314781358502023,3.7314781358501925,3.9045344225038585
45.7,3.9095258270731006,3.7527151426843424,3.7527151426843077,3.9095258270731312
45.8,3.9137009572578103,3.772907967594301,3.7729079675942945,3.9137009572578174
45.9,3.917184952552303,3.791942075969143,3.79194207596912,3.9171849525523252
46.0,3.920079839142037,3.8097312201114577,3.809731220111434,3.920079839142039
46.1,3.922465985591172,3.8262136432550324,3.8262136432550333,3.9224659855911685
46.2,3.924403882565122,3.841348526602863,3.841348526602868,3.9244038825651213
46.3,3.9259361388783027,3.8551127119424398,3.855112711942442,3.925936138878281
46.4,3.92708959622437,3.8674977171340115,3.8674977171339977,3.9270895962243104
46.5,3.9278774780642927,3.8785070499946617,3.878507049994608,3.9278774780642833
46.6,3.9283015024619305,3.8881538170509473,3.8881538170509433,3.9283015024619186
46.7,3.928353903088045,3.8964586168033897,3.896458616803454,3.9283539030879835
